"Screen reader users: There is 1 figure on this tab called Figure 2: Incident end-stage kidney disease patients receiving hemodialysis, by vascular access type at the start of  dialysis, Canada (excluding Quebec), 2012 to 2021 (percentage of total). The data table used to create this figure starts in cell A10 and ends in cell E20. The notes begin in cell A5 and the source begins in cell A8. A link back to the table of contents is in cell A2.",,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,
"Figure 2  Incident end-stage kidney disease patients receiving hemodialysis, by vascular access type at the start of dialysis, Canada (excluding Quebec), 2012 to 2021 (percentage of total)",,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,
Notes,,,,,,,,,,,
Catheter: Central venous catheter; AV fistula: Arteriovenous fistula; AV graft: Arteriovenous graft.,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,
Source,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,
Year,Catheter,AV fistula,AV graft,Unknown,,,,,,,
2012,81.2,15.5,1.0,2.3,,,,,,,
2013,79.8,16.4,1.4,2.4,,,,,,,
2014,82.2,15.2,1.2,1.4,,,,,,,
2015,82.4,15.9,1.3,0.4,,,,,,,
2016,82.3,15.7,1.3,0.6,,,,,,,
2017,82.7,15.8,0.9,0.6,,,,,,,
2018,83.6,14.8,1.0,0.5,,,,,,,
2019,84.6,14.6,0.5,0.3,,,,,,,
2020,85.8,13.1,0.6,0.5,,,,,,,
2021,86.3,12.7,0.7,0.3,,,,,,,
End of worksheet,,,,,,,,,,,
