"Screen reader users: There is 1 figure on this tab called Figure 3: eGFR at time of dialysis start for adult incident dialysis patients, Canada (excluding Quebec), 2012 to 2021 (percentage of total). The data table used to create this figure starts in cell A11 and ends in cell E21. The notes begin in cell A5 and the source begins in cell A9. A link back to the table of contents is in cell A2.",,,,,,,,
Back to the Table of contents,,,,,,,,
"Figure 3  eGFR at time of dialysis start for adult incident dialysis patients, Canada (excluding Quebec), 2012 to 2021 (percentage of total)",,,,,,,,
The information can be found in the table below.,,,,,,,,
Notes,,,,,,,,
eGFR: Estimated glomerular filtration rate.,,,,,,,,
Estimated glomerular filtration rate as determined by the Modification of Diet in Renal Disease (MDRD) formula (mL/min/1.73 m2).,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019. ,,,,,,,,
Source,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,
Year,eGFR <5,eGFR 5 to <10.5,eGFR 10.5 to <15,eGFR ≥15,,,,
2012,10.1,54.2,22.9,12.8,,,,
2013,10.8,54.9,22.7,11.6,,,,
2014,11.1,57.1,20.8,11.0,,,,
2015,10.7,56.3,22.0,11.0,,,,
2016,9.6,58.6,21.2,10.6,,,,
2017,9.7,59.4,20.1,10.7,,,,
2018,10.9,60.0,19.8,9.3,,,,
2019,10.8,61.8,19.4,8.0,,,,
2020,11.0,63.0,18.7,7.3,,,,
2021,11.3,61.2,19.1,8.5,,,,
End of worksheet,,,,,,,,
