"Screen reader users: There are 2 figures on this tab. Figure 12 is called Unadjusted starting, 3-month and 1-, 3-, 5- and 10-year graft survival rates in adult kidney transplant patients, first graft, living donor, by age at transplant, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 12 begins in cell A9 and ends at cell H13. The note begins in cell A5 and the source begins in cell A7. Figure 13 is called Unadjusted starting, 3-month and 1-, 3-, 5- and 10-year graft survival rates in adult kidney transplant patients, first graft, deceased donor, by age at transplant, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 13 begins in cell A20 and ends at cell H24. The note begins in cell A16 and the source begins in cell A18. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,
"Figure 12  Unadjusted starting, 3-month and 1-, 3-, 5- and 10-year graft survival rates in adult kidney transplant patients, first graft, living donor, by age at transplant, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,,
Source ,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,
Donor type,Age group,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,
Living,Age 18–44 ,99.8,98.5,97.6,94.7,90.8,83.1,,,,,,,,
Living,Age 45–54 ,100,99.0,97.7,94.5,92.3,79.4,,,,,,,,
Living,Age 55–64 ,100,98.9,97.1,94.0,89.0,73.8,,,,,,,,
Living,Age 65+ ,100,98.3,95.9,90.7,84.8,55.8,,,,,,,,
"Figure 13  Unadjusted starting, 3-month and 1-, 3-, 5- and 10-year graft survival rates in adult kidney transplant patients, first graft, deceased donor, by age at transplant, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,
Donor type,Age group,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,
Deceased,Age 18–44 ,99.7,98.2,96.7,92.2,87.0,71.5,,,,,,,,
Deceased,Age 45–54 ,99.9,98.1,96.5,92.8,87.5,70.2,,,,,,,,
Deceased,Age 55–64 ,99.8,96.7,93.3,87.2,79.1,53.9,,,,,,,,
Deceased,Age 65+ ,99.9,95.6,90.2,80.4,69.8,35.1,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,
