"Screen reader users: There are 2 figures on this tab. Figure 14 is called Living kidney transplant recipients by province/territory of residence, Canada (excluding Quebec), 2021 (crude rate per million population). The data table used to create Figure 14 begins at cell A13 and ends at cell B19. The notes begin in cell A5 and the sources begin in cell A11.  Figure 15 is called Deceased kidney transplant recipients by province/territory of residence, Canada (excluding Quebec), 2021 (crude rate per million population). The data table used to create Figure 15 begins at cell A30 and ends at cell B36. The notes begin in cell A22 and the sources begin in cell A28. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,
"Figure 14  Living kidney transplant recipients by province/territory of residence, Canada (excluding Quebec), 2021 (crude rate per million population)",,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,,,,
This figure excludes simultaneous kidney–pancreas transplants (SKPs). SKPs are included in the pancreas data tables.,,,,,,,,,,,,,,,
Data from the Atlantic provinces was combined because of small numbers.,,,,,,,,,,,,,,,
"Atlantic includes New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador.",,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,,,,
"Province/territory 
of residence",Crude RPMP,,,,,,,,,,,,,,
B.C./Y.T.,12.6,,,,,,,,,,,,,,
Alta./N.W.T./Nun.,14.6,,,,,,,,,,,,,,
Sask.,5.1,,,,,,,,,,,,,,
Man.,9.4,,,,,,,,,,,,,,
Ont.,14.7,,,,,,,,,,,,,,
Atlantic,7.7,,,,,,,,,,,,,,
"Figure 15  Deceased kidney transplant recipients by province/territory of residence, Canada (excluding Quebec), 2021 (crude rate per million population)",,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,,,,
This figure excludes simultaneous kidney–pancreas transplants (SKPs). SKPs are included in the pancreas data tables.,,,,,,,,,,,,,,,
Data from the Atlantic provinces was combined because of small numbers.,,,,,,,,,,,,,,,
"Atlantic includes New Brunswick, Nova Scotia, Prince Edward Island and Newfoundland and Labrador.",,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,,,,
"Province/territory 
of residence",Crude RPMP,,,,,,,,,,,,,,
B.C./Y.T.,45.6,,,,,,,,,,,,,,
Alta./N.W.T./Nun.,27.2,,,,,,,,,,,,,,
Sask.,19.5,,,,,,,,,,,,,,
Man.,10.1,,,,,,,,,,,,,,
Ont.,25.0,,,,,,,,,,,,,,
Atlantic,21.5,,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,
