"Screen reader users: There are 3 figures on this tab. Figure 9 is called Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in dialysis patients, by cause of kidney failure, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 9 begins in cell A10 and ends at cell H18. The notes begin in cell A5 and the source begins in cell A8. Figure 10 is called Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in hemodialysis patients, by cause of kidney failure, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 10 begins in cell A26 and ends at cell H34. The notes begin in cell A21 and source begins in cell A24. Figure 11 is called Unadjusted 3-month and 1-, 3-, 5 and 10-year survival rates in peritoneal dialysis patients, by cause of kidney failure, Canada (excluding Quebec), 2010 to 2021 (percentage). The data table used to create Figure 11 begins in cell A42 and ends at cell H50. The notes begin in cell A37 and source begins in cell A40. A link back to the table of contents is in cell A2. ",,,,,,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,,,,,
"Figure 9  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in dialysis patients, by cause of kidney failure, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2010 to 2021. ",,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
Treatment,Cause of kidney failure,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,,,,,
All dialysis,Glomerulonephritis,100,97.3,92.8,80.3,65.0,28.8,,,,,,,,,,,,
All dialysis,Diabetes,100,94.8,86.0,62.0,39.8,9.2,,,,,,,,,,,,
All dialysis,Polycystic kidney,100,98.7,96.6,87.2,76.0,38.5,,,,,,,,,,,,
All dialysis,Pyelonephritis,100,94.9,86.0,66.9,51.1,19.9,,,,,,,,,,,,
All dialysis,Renal vascular,100,92.2,81.8,58.2,38.6,10.4,,,,,,,,,,,,
All dialysis,Drug induced,99.9,91.6,79.1,54.9,37.2,8.3,,,,,,,,,,,,
All dialysis,Other*,99.9,83.6,71.1,51.9,37.1,12.7,,,,,,,,,,,,
All dialysis,Unknown,99.8,88.1,76.4,54.7,37.6,11.4,,,,,,,,,,,,
"Figure 10  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in hemodialysis patients, by cause of kidney failure, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2010 to 2021.",,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
Treatment,Cause of kidney failure,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,,,,,
HD,Glomerulonephritis,100,96.4,90.5,76.5,61.0,26.7,,,,,,,,,,,,
HD,Diabetes,100,93.9,84.6,61.4,39.8,9.2,,,,,,,,,,,,
HD,Polycystic kidney,100,98.3,95.6,85.7,74.1,38.4,,,,,,,,,,,,
HD,Pyelonephritis,100,93.8,83.6,63.1,46.7,18.0,,,,,,,,,,,,
HD,Renal vascular,100,90.5,79.2,55.9,36.5,10.1,,,,,,,,,,,,
HD,Drug induced,99.9,90.4,75.9,51.2,34.1,7.0,,,,,,,,,,,,
HD,Other*,99.8,81.7,68.4,49.0,34.4,11.4,,,,,,,,,,,,
HD,Unknown,99.8,86.6,74.2,52.8,35.9,11.0,,,,,,,,,,,,
"Figure 11  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in peritoneal dialysis patients, by cause of kidney failure, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
The information can be found in the table below.,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2010 to 2021. ",,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this figure because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
Treatment,Cause of kidney failure,At start,3 months,1 year,3 years,5 years,10 years,,,,,,,,,,,,
PD,Glomerulonephritis,100,99.0,97.4,88.6,74.3,33.5,,,,,,,,,,,,
PD,Diabetes,100,97.8,90.5,64.0,39.6,9.2,,,,,,,,,,,,
PD,Polycystic kidney,100,99.5,98.4,89.9,79.8,38.3,,,,,,,,,,,,
PD,Pyelonephritis,100,99.3,95.1,82.8,70.1,27.2,,,,,,,,,,,,
PD,Renal vascular,100,97.8,90.3,65.9,45.9,11.5,,,,,,,,,,,,
PD,Drug induced,100,96.4,91.0,69.7,49.8,14.3,,,,,,,,,,,,
PD,Other*,100,95.0,88.1,69.9,55.2,23.4,,,,,,,,,,,,
PD,Unknown,100,96.0,88.3,64.3,46.6,13.2,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,,,,,
