"Screen reader users: There is 1 table on this tab called Table 10: Adult incident dialysis patients, selected characteristics, Canada (Quebec excluded, unless otherwise noted), 2012 to 2021. It begins at cell A4 and ends at cell L20. The notes begin in cell A21 and the source begins in cell A28. A link back to the table of contents is in cell A2.",,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,
"Table 10  Adult incident dialysis patients, selected characteristics, Canada (Quebec excluded, unless otherwise noted), 2012 to 2021",,,,,,,,,,,,
Modality,Characteristic,2012,2013,2014,2015,2016,2017,2018,2019,"2020 
(with Que.)","2021 
(with Que.)",
HD,Mean age (years),64.7,65.4,64.9,65.0,64.6,65.1,65.0,65.3,65.2,65.0,
HD,Age 65+ (%),55.5,57.0,55.9,56.8,55.8,57.8,57.4,57.5,58.0,58.0,
HD,Male (%),62.7,62.5,61.9,62.6,60.8,61.1,61.5,61.9,61.6,62.0,
HD,Diabetes (%),53.9,54.0,56.2,56.3,55.4,57.3,58.3,57.9,50.0,55.9,
HD,Mean comorbidity index* ,2.1,2.0,2.1,2.2,2.1,2.0,2.0,2.0,1.6,1.7,
HD,Mean BMI,28.9,29.2,29.0,29.3,29.1,29.2,29.3,29.2,29.2,29.2,
HD,Mean eGFR†,10.4,10.3,9.9,10.1,10.3,10.0,9.7,9.5,9.2,9.5,
HD,Late referral (%)‡,30.5,31.8,31.7,30.6,31.3,29.7,31.1,29.8,29.6,32.3,
PD,Mean age (years),62.0,61.4,61.6,62.0,62.9,62.2,62.7,62.8,63.2,63.5,
PD,Age 65+ (%),46.1,45.3,45.4,48.7,50.6,50.1,50.1,50.4,52.8,53.9,
PD,Male (%),60.2,60.7,58.6,61.5,67.4,64.7,61.7,62.7,61.7,61.9,
PD,Diabetes (%),52.6,50.4,52.7,53.8,54.1,53.9,53.2,50.2,47.3,53.3,
PD,Mean comorbidity index* ,1.2,1.1,1.3,1.2,1.4,1.2,1.2,1.2,1.0,1.2,
PD,Mean BMI,28.0,27.5,27.9,28.1,27.9,28.0,28.1,28.2,28.3,28.3,
PD,Mean eGFR†,10.0,9.7,9.5,9.6,9.4,9.6,9.2,9.1,9.3,9.7,
PD,Late referral (%)‡,7.0,7.7,7.4,7.7,7.5,6.8,5.7,7.3,7.8,7.6,
Notes,,,,,,,,,,,,
* The index assigns each of the 14 comorbid conditions collected in CORR a weight from 1 to 10. The possible range is from 0 to 32.,,,,,,,,,,,,
† Estimated glomerular filtration rate (eGFR) as determined by the Modification of Diet in Renal Disease (MDRD) formula (mL/min/1.73 m2).,,,,,,,,,,,,
‡ Patients who first see a nephrologist less than 90 days before starting dialysis.,,,,,,,,,,,,
HD: Hemodialysis; PD: Peritoneal dialysis.,,,,,,,,,,,,
BMI: Body mass index.,,,,,,,,,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, Quebec data is included in this table for the last 2 years only. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of incidence in 2020–2021.",,,,,,,,,,,,
Source,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
