"Screen reader users: There is 1 table on this tab called Table 12A: Prevalent end-stage kidney disease patients by age group, Canada (excluding Quebec), 2002 to 2021 (number, rate per million population). It begins at cell A4 and ends at cell M24. The notes begin in cell A25 and the sources begin in cell A28. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,
"Table 12A  Prevalent end-stage kidney disease patients by age group, Canada (excluding Quebec), 2002 to 2021 (number, rate per million population)",,,,,,,,,,,,,
Year,Age 0–19 (N),Age 0–19 (RPMP),Age 20–44 (N),Age 20–44 (RPMP),Age 45–64 (N),Age 45–64 (RPMP),Age 65–74 (N),Age 65–74 (RPMP),Age 75+ (N),Age 75+ (RPMP),"Total 
(N)",Total (RPMP),
2002,446,72.0,"5,061",563.7,"8,688","1,514.7","4,356","2,682.6","3,559","2,565.8","22,110",924.4,
2003,437,70.8,"5,080",565.8,"9,229","1,552.8","4,657","2,844.0","3,912","2,739.0","23,315",965.1,
2004,432,70.2,"5,102",568.2,"9,781","1,590.8","4,877","2,942.9","4,291","2,926.7","24,483","1,003.2",
2005,440,71.7,"5,154",573.8,"10,285","1,617.3","5,115","3,055.4","4,674","3,101.8","25,668","1,040.8",
2006,430,70.1,"5,195",578.6,"10,855","1,651.4","5,293","3,103.3","4,962","3,198.5","26,735","1,072.0",
2007,429,70.1,"5,148",573.8,"11,371","1,678.1","5,583","3,204.3","5,215","3,290.5","27,746","1,101.2",
2008,429,70.0,"5,165",576.0,"11,909","1,706.6","5,725","3,191.8","5,429","3,359.0","28,657","1,124.4",
2009,436,71.1,"5,117",569.6,"12,408","1,730.8","6,099","3,288.4","5,739","3,489.6","29,799","1,155.6",
2010,434,70.8,"5,120",568.2,"12,960","1,765.9","6,325","3,304.3","5,889","3,511.0","30,728","1,178.4",
2011,415,67.6,"5,152",569.5,"13,348","1,791.0","6,758","3,397.2","6,085","3,559.1","31,758","1,206.0",
2012,411,67.0,"5,214",570.0,"13,768","1,831.6","7,180","3,404.8","6,322","3,623.8","32,895","1,234.2",
2013,403,65.6,"5,269",570.3,"14,148","1,865.3","7,617","3,420.1","6,504","3,650.8","33,941","1,258.4",
2014,405,65.8,"5,297",568.2,"14,509","1,894.8","8,060","3,455.2","6,681","3,669.8","34,952","1,280.9",
2015,405,65.6,"5,386",576.2,"14,909","1,932.2","8,565","3,513.7","6,858","3,696.9","36,123","1,312.2",
2016,410,65.8,"5,431",575.7,"15,253","1,961.3","8,991","3,539.6","7,179","3,770.7","37,264","1,336.4",
2017,415,66.2,"5,479",573.4,"15,541","1,990.2","9,501","3,588.3","7,400","3,776.8","38,336","1,357.4",
2018,420,66.4,"5,560",570.7,"15,882","2,030.2","9,924","3,606.0","7,667","3,788.0","39,453","1,376.4",
2019,419,66.0,"5,629",565.5,"16,211","2,070.9","10,347","3,609.4","8,071","3,848.8","40,677","1,397.9",
2020,416,65.4,"5,709",564.0,"16,460","2,104.5","10,800","3,615.1","8,327","3,843.7","41,712","1,415.9",
2021,446,70.8,"5,750",563.4,"16,438","2,107.0","10,952","3,542.1","8,685","3,878.3","42,271","1,426.1",
Notes,,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of dialysis data between 2011 and 2019 and transplant data between 2012 and 2021. ,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,
