"Screen reader users: There is 1 table on this tab called Table 15: Prevalent end-stage kidney disease patients by province/territory, Canada, 2012 to 2021 (number, rate per million population). It begins at cell A4 and ends at cell L28. The notes begin in cell A29 and the sources begin in cell A34. A link back to the table of contents is in cell A2. ",,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,
"Table 15  Prevalent end-stage kidney disease patients by province/territory, Canada*, 2012 to 2021 (number, rate per million population)",,,,,,,,,,,,
Province/territory,Unit of measure,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
B.C./Y.T.,N,"5,477","5,662","5,685","5,917","6,200","6,461","6,753","7,076","7,312","7,366",
B.C./Y.T.,RPMP,"1,189.9","1,213.3","1,198.3","1,229.1","1,265.9","1,300.3","1,337.0","1,377.7","1,405.9","1,401.0",
Alta./N.W.T./Nun.,N,"4,049","4,224","4,422","4,572","4,756","4,850","5,077","5,251","5,408","5,519",
Alta./N.W.T./Nun.,RPMP,"1,024.3","1,040.4","1,062.1","1,082.1","1,111.8","1,121.8","1,158.8","1,181.0","1,200.6","1,218.9",
Sask.,N,"1,305","1,299","1,333","1,337","1,404","1,420","1,440","1,499","1,535","1,527",
Sask.,RPMP,"1,204.1","1,181.2","1,197.7","1,192.7","1,235.9","1,234.4","1,239.5","1,278.5","1,301.6","1,294.2",
Man.,N,"1,959","2,030","2,103","2,156","2,219","2,280","2,391","2,481","2,534","2,569",
Man.,RPMP,"1,567.2","1,605.2","1,644.2","1,668.4","1,688.6","1,708.1","1,767.4","1,811.0","1,835.4","1,856.5",
Ont.,N,"16,810","17,397","18,010","18,652","19,176","19,735","20,158","20,680","21,197","21,597",
Ont.,RPMP,"1,255.4","1,287.6","1,322.6","1,360.8","1,382.0","1,402.6","1,408.8","1,421.8","1,437.5","1,456.7",
Que.*,N,—,—,—,—,—,—,—,—,"5,688","5,803",
Que.*,RPMP,—,—,—,—,—,—,—,—,663.1,674.4,
N.B.,N,957,947,970,993,959,958,952,944,947,915,
N.B.,RPMP,"1,261.9","1,248.4","1,278.0","1,308.6","1,256.3","1,249.6","1,235.9","1,214.7","1,209.1","1,159.4",
N.S.,N,"1,423","1,466","1,496","1,519","1,508","1,528","1,579","1,640","1,686","1,721",
N.S.,RPMP,"1,508.0","1,558.9","1,594.0","1,622.0","1,599.5","1,608.2","1,647.5","1,690.3","1,717.1","1,734.8",
P.E.I.,N,82,83,88,96,155,221,218,211,206,203,
P.E.I.,RPMP,567.4,576.0,609.9,664.1,"1,054.6","1,469.4","1,421.2","1,340.4","1,276.9","1,235.4",
N.L.,N,833,833,845,881,887,883,885,895,887,854,
N.L.,RPMP,"1,582.6","1,580.3","1,599.9","1,668.2","1,675.4","1,671.6","1,683.9","1,709.9","1,701.3","1,640.6",
Canada (without Que.),N,"32,895","33,941","34,952","36,123","37,264","38,336","39,453","40,677","41,712","42,271",
Canada (without Que.),RPMP,"1,234.2","1,258.4","1,280.9","1,312.2","1,336.4","1,357.4","1,376.4","1,397.9","1,415.9","1,426.1",
Canada (with Que.)*,N,—,—,—,—,—,—,—,—,"47,400","48,074",
Canada (with Que.)*,RPMP,—,—,—,—,—,—,—,—,"1,246.1","1,257.0",
Notes,,,,,,,,,,,,
* Quebec includes only dialysis patients and does not include kidney transplant patients.  ,,,,,,,,,,,,
— Not applicable.,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, Quebec data is included in this table for the last 2 years only. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of prevalence in 2020–2021.",,,,,,,,,,,,
Sources,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
