"Screen reader users: There is 1 table on this tab called Table 16A: Prevalent end-stage kidney disease patients by type of treatment, Canada (excluding Quebec), 2012 to 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell L21. The notes begin in cell A22 and the sources begin in cell A27. A link back to the table of contents is in cell A2.",,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,
"Table 16A  Prevalent end-stage kidney disease patients by type of treatment, Canada (excluding Quebec), 2012 to 2021 (number, rate per million population, percentage of total)",,,,,,,,,,,,
Type of treatment,Unit of measure,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
HD home,N,899,996,"1,036","1,031","1,070","1,053","1,034","1,087","1,168","1,195",
HD home,RPMP,33.7,36.9,38.0,37.5,38.4,37.3,36.1,37.4,39.6,40.3,
HD home,%,2.7,2.9,3.0,2.9,2.9,2.7,2.6,2.7,2.8,2.8,
HD institutional,N,"14,998","15,329","15,616","16,071","16,380","16,641","17,044","17,442","17,726","17,898",
HD institutional,RPMP,562.7,568.3,572.3,583.8,587.4,589.2,594.6,599.4,601.7,603.8,
HD institutional,%,45.6,45.2,44.7,44.5,44.0,43.4,43.2,42.9,42.5,42.3,
CAPD,N,"1,128","1,154","1,244","1,240","1,299","1,288","1,344","1,313","1,438","1,435",
CAPD,RPMP,42.3,42.8,45.6,45.0,46.6,45.6,46.9,45.1,48.8,48.4,
CAPD,%,3.4,3.4,3.6,3.4,3.5,3.4,3.4,3.2,3.4,3.4,
APD,N,"2,493","2,591","2,729","2,940","3,056","3,272","3,329","3,426","3,484","3,504",
APD,RPMP,93.5,96.1,100.0,106.8,109.6,115.9,116.1,117.7,118.3,118.2,
APD,%,7.6,7.6,7.8,8.1,8.2,8.5,8.4,8.4,8.4,8.3,
Transplant,N,"13,377","13,871","14,327","14,841","15,459","16,082","16,702","17,409","17,896","18,239",
Transplant,RPMP,501.9,514.3,525.0,539.1,554.4,569.4,582.7,598.3,607.5,615.3,
Transplant,%,40.7,40.9,41.0,41.1,41.5,42.0,42.3,42.8,42.9,43.1,
Total,N,"32,895","33,941","34,952","36,123","37,264","38,336","39,453","40,677","41,712","42,271",
Total,RPMP,"1,234.2","1,258.4","1,280.9","1,312.2","1,336.4","1,357.4","1,376.4","1,397.9","1,415.9","1,426.1",
Notes,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,
HD: Hemodialysis; CAPD: Continuous ambulatory peritoneal dialysis; APD: Automated peritoneal dialysis. ,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of dialysis data between 2011 and 2019 and transplant data between 2012 and 2021. ,,,,,,,,,,,,
Percentages may not add up to 100 because of rounding.,,,,,,,,,,,,
Sources,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Type of treatment,Unit of measure,2020,2021,,,,,,,,,
HD home,N,,,,,,,,,,,
HD home,RPMP,,,,,,,,,,,
HD home,%,,,,,,,,,,,
HD institutional,N,,,,,,,,,,,
HD institutional,RPMP,,,,,,,,,,,
HD institutional,%,,,,,,,,,,,
CAPD,N,,,,,,,,,,,
CAPD,RPMP,,,,,,,,,,,
CAPD,%,,,,,,,,,,,
APD,N,,,,,,,,,,,
APD,RPMP,,,,,,,,,,,
APD,%,,,,,,,,,,,
Total,N,,,,,,,,,,,
Total,RPMP,,,,,,,,,,,
,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
