"Screen reader users: There is 1 table on this tab called Table 17: Prevalent end-stage kidney disease patients by type of treatment and province/territory of treatment, Canada, 2021 (number, percentage). It begins at cell A4 and ends at cell N15. The notes begin in cell A16 and the source begins in cell A21. A link back to the table of contents is in cell A2. ",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 17  Prevalent end-stage kidney disease patients by type of treatment and province/territory of treatment, Canada*, 2021 (number, percentage)",,,,,,,,,,,,,,
Type of treatment,Unit of measure,B.C./Y.T.,Alta./N.W.T./Nun.,Sask.,Man.,Ont.,Que.*,N.B.,N.S.,P.E.I.,N.L.,"Canada 
(with Que.)*",Canada (without Que.),
HD home,N,148,188,47,138,615,112,11,22,0,26,"1,307","1,195",
HD home,%,2.0,3.4,3.1,5.4,2.8,1.9,1.2,1.3,0.0,3.0,2.7,2.8,
HD institutional,N,"2,563","2,088",752,"1,435","9,230","4,834",480,711,99,540,"22,732","17,898",
HD institutional,%,34.8,37.8,49.2,55.9,42.7,83.3,52.5,41.3,48.8,63.2,47.3,42.3,
CAPD,N,229,140,94,136,657,492,52,91,12,24,"1,927","1,435",
CAPD,%,3.1,2.5,6.2,5.3,3.0,8.5,5.7,5.3,5.9,2.8,4.0,3.4,
APD,N,632,523,132,156,"1,929",365,45,58,10,19,"3,869","3,504",
APD,%,8.6,9.5,8.6,6.1,8.9,6.3,4.9,3.4,4.9,2.2,8.0,8.3,
Transplant,N,"3,794","2,580",502,704,"9,166",—,327,839,82,245,"18,239","18,239",
Transplant,%,51.5,46.7,32.9,27.4,42.4,—,35.7,48.8,40.4,28.7,37.9,43.1,
Total,N,"7,366","5,519","1,527","2,569","21,597","5,803",915,"1,721",203,854,"48,074","42,271",
Notes,,,,,,,,,,,,,,
* Quebec includes only dialysis patients and does not include kidney transplant patients due to significant under-reporting between 2012 and 2021.,,,,,,,,,,,,,,
HD: Hemodialysis; CAPD: Continuous ambulatory peritoneal dialysis; APD: Automated peritoneal dialysis. ,,,,,,,,,,,,,,
"While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of prevalence in 2021.",,,,,,,,,,,,,,
Percentages may not add up to 100 because of rounding.,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,
