"Screen reader users: There is 1 table on this tab called Table 18A: Prevalent end-stage kidney disease patients by primary diagnosis, Canada (excluding Quebec), 2012 to 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell L30. The notes begin in cell A31 and the sources begin in cell A36. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 18A  Prevalent end-stage kidney disease patients by primary diagnosis, Canada (excluding Quebec), 2012 to 2021 (number, rate per million population, percentage of total)",,,,,,,,,,,,,,
Diagnosis*,Unit of measure,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
Glomerulonephritis,N,"7,102","7,284","7,465","7,763","7,977","8,195","8,382","8,556","8,757","8,827",,,
Glomerulonephritis,RPMP,266.5,270.1,273.6,282.0,286.1,290.2,292.4,294.0,297.3,297.8,,,
Glomerulonephritis,%,21.6,21.5,21.4,21.5,21.4,21.4,21.2,21.0,21.0,20.9,,,
Diabetes,N,"9,248","9,666","10,120","10,505","10,967","11,360","11,731","12,059","12,284","12,406",,,
Diabetes,RPMP,347.0,358.4,370.9,381.6,393.3,402.2,409.3,414.4,417.0,418.5,,,
Diabetes,%,28.1,28.5,29.0,29.1,29.4,29.6,29.7,29.6,29.4,29.3,,,
Renal vascular disease,N,"4,076","4,074","4,056","4,128","4,160","4,225","4,235","4,239","4,310","4,348",,,
Renal vascular disease,RPMP,152.9,151.0,148.6,150.0,149.2,149.6,147.7,145.7,146.3,146.7,,,
Renal vascular disease,%,12.4,12.0,11.6,11.4,11.2,11.0,10.7,10.4,10.3,10.3,,,
Polycystic kidney disease,N,"2,462","2,560","2,620","2,696","2,781","2,858","2,950","3,015","3,080","3,098",,,
Polycystic kidney disease,RPMP,92.4,94.9,96.0,97.9,99.7,101.2,102.9,103.6,104.6,104.5,,,
Polycystic kidney disease,%,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.4,7.4,7.3,,,
Drug induced,N,459,473,487,482,502,510,530,528,565,552,,,
Drug induced,RPMP,17.2,17.5,17.8,17.5,18.0,18.1,18.5,18.1,19.2,18.6,,,
Drug induced,%,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.3,,,
Pyelonephritis,N,"1,832","1,798","1,788","1,754","1,746","1,761","1,722","1,703","1,740","1,731",,,
Pyelonephritis,RPMP,68.7,66.7,65.5,63.7,62.6,62.4,60.1,58.5,59.1,58.4,,,
Pyelonephritis,%,5.6,5.3,5.1,4.9,4.7,4.6,4.4,4.2,4.2,4.1,,,
Other*,N,"4,082","4,399","4,456","4,763","5,083","5,359","5,626","6,010","6,192","6,460",,,
Other*,RPMP,153.2,163.1,163.3,173.0,182.3,189.7,196.3,206.5,210.2,217.9,,,
Other*,%,12.4,13.0,12.7,13.2,13.6,14.0,14.3,14.8,14.8,15.3,,,
Unknown/not reported,N,"3,634","3,687","3,960","4,032","4,048","4,068","4,277","4,567","4,784","4,849",,,
Unknown/not reported,RPMP,136.3,136.7,145.1,146.5,145.2,144.0,149.2,157.0,162.4,163.6,,,
Unknown/not reported,%,11.0,10.9,11.3,11.2,10.9,10.6,10.8,11.2,11.5,11.5,,,
Total,N,"32,895","33,941","34,952","36,123","37,264","38,336","39,453","40,677","41,712","42,271",,,
Total,RPMP,"1,234.2","1,258.4","1,280.9","1,312.2","1,336.4","1,357.4","1,376.4","1,397.9","1,415.9","1,426.1",,,
Notes,,,,,,,,,,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021.",,,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of dialysis data between 2011 and 2019 and transplant data between 2012 and 2021. ,,,,,,,,,,,,,,
Percentages may not add up to 100 because of rounding.,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,
