"Screen reader users: There is 1 table on this tab called Table 18B: Prevalent dialysis patients by primary diagnosis, Canada, 2020 to 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell D30. The notes begin in cell A31 and the sources begin in cell A36. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,
"Table 18B  Prevalent dialysis patients by primary diagnosis, Canada, 2020 to 2021 (number, rate per million population, percentage of total)",,,,,,,,,,,,,
Diagnosis*,Unit of measure,2020,2021,,,,,,,,,,
Glomerulonephritis,N,"3,695","3,712",,,,,,,,,,
Glomerulonephritis,RPMP,97.1,97.1,,,,,,,,,,
Glomerulonephritis,%,12.5,12.4,,,,,,,,,,
Diabetes,N,"9,393","9,687",,,,,,,,,,
Diabetes,RPMP,246.9,253.3,,,,,,,,,,
Diabetes,%,31.8,32.5,,,,,,,,,,
Renal vascular disease,N,"3,168","3,232",,,,,,,,,,
Renal vascular disease,RPMP,83.3,84.5,,,,,,,,,,
Renal vascular disease,%,10.7,10.8,,,,,,,,,,
Polycystic kidney disease,N,"1,084","1,107",,,,,,,,,,
Polycystic kidney disease,RPMP,28.5,28.9,,,,,,,,,,
Polycystic kidney disease,%,3.7,3.7,,,,,,,,,,
Drug induced,N,394,403,,,,,,,,,,
Drug induced,RPMP,10.4,10.5,,,,,,,,,,
Drug induced,%,1.3,1.4,,,,,,,,,,
Pyelonephritis,N,791,796,,,,,,,,,,
Pyelonephritis,RPMP,20.8,20.8,,,,,,,,,,
Pyelonephritis,%,2.7,2.7,,,,,,,,,,
Other*,N,"3,685","3,990",,,,,,,,,,
Other*,RPMP,96.9,104.3,,,,,,,,,,
Other*,%,12.5,13.4,,,,,,,,,,
Unknown/not reported,N,"7,294","6,908",,,,,,,,,,
Unknown/not reported,RPMP,191.8,180.6,,,,,,,,,,
Unknown/not reported,%,24.7,23.2,,,,,,,,,,
Total,N,"29,504","29,835",,,,,,,,,,
Total,RPMP,775.7,780.1,,,,,,,,,,
Notes,,,,,,,,,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, data within this table is limited to the last 2 years. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of prevalence in 2020–2021.",,,,,,,,,,,,,
Percentages may not add up to 100 because of rounding.,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,
