"Screen reader users: There is 1 table on this tab called Table 20B: Prevalent dialysis patients by type of treatment, age group, sex and primary diagnosis, Canada, December 31, 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell E51. The notes begin in cell A52 and the sources begin in cell A58. A link back to the table of contents is in cell A2. ",,,,,
Back to the Table of contents,,,,,
"Table 20B  Prevalent dialysis patients by type of treatment, age group, sex and primary diagnosis, Canada, December 31, 2021 (number, rate per million population, percentage of total)",,,,,
Patient characteristic,Unit of measure,HD,PD,Total,
Age: 0–19,N,66,41,107,
Age: 0–19,RPMP,8.2,5.1,13.2,
Age: 0–19,%,0.3,0.7,0.4,
Age: 20–44,N,"2,245",678,"2,923",
Age: 20–44,RPMP,173.1,52.3,225.4,
Age: 20–44,%,9.3,11.7,9.8,
Age: 45–64,N,"7,680","1,957","9,637",
Age: 45–64,RPMP,758.8,193.3,952.1,
Age: 45–64,%,31.9,33.8,32.3,
Age: 65–74,N,"6,533","1,642","8,175",
Age: 65–74,RPMP,"1,598.3",401.7,"2,000.0",
Age: 65–74,%,27.2,28.3,27.4,
Age: 75+,N,"7,515","1,478","8,993",
Age: 75+,RPMP,"2,509.8",493.6,"3,003.4",
Age: 75+,%,31.3,25.5,30.1,
Total,N,"24,039","5,796","29,835",
Total,RPMP,628.5,151.5,780.1,
Sex: Female,N,"9,573","2,288","11,861",
Sex: Female,RPMP,497.6,118.9,616.5,
Sex: Female,%,39.8,39.5,39.8,
Sex: Male,N,"14,458","3,504","17,962",
Sex: Male,RPMP,760.6,184.3,945.0,
Sex: Male,%,60.2,60.5,60.2,
Diagnosis: Glomerulonephritis,N,"2,771",941,"3,712",
Diagnosis: Glomerulonephritis,RPMP,72.5,24.6,97.1,
Diagnosis: Glomerulonephritis,%,11.5,16.2,12.4,
Diagnosis: Diabetes,N,"7,853","1,834","9,687",
Diagnosis: Diabetes,RPMP,205.3,48.0,253.3,
Diagnosis: Diabetes,%,32.7,31.6,32.5,
Diagnosis: Renal vascular disease,N,"2,529",703,"3,232",
Diagnosis: Renal vascular disease,RPMP,66.1,18.4,84.5,
Diagnosis: Renal vascular disease,%,10.5,12.1,10.8,
Diagnosis: Polycystic kidney disease,N,867,240,"1,107",
Diagnosis: Polycystic kidney disease,RPMP,22.7,6.3,28.9,
Diagnosis: Polycystic kidney disease,%,3.6,4.1,3.7,
Diagnosis: Drug induced,N,326,77,403,
Diagnosis: Drug induced,RPMP,8.5,2.0,10.5,
Diagnosis: Drug induced,%,1.4,1.3,1.4,
Diagnosis: Pyelonephritis,N,666,130,796,
Diagnosis: Pyelonephritis,RPMP,17.4,3.4,20.8,
Diagnosis: Pyelonephritis,%,2.8,2.2,2.7,
Diagnosis: Other* ,N,"3,226",764,"3,990",
Diagnosis: Other* ,RPMP,84.3,20.0,104.3,
Diagnosis: Other* ,%,13.4,13.2,13.4,
Diagnosis: Unknown ,N,"5,801","1,107","6,908",
Diagnosis: Unknown ,RPMP,151.7,28.9,180.6,
Diagnosis: Unknown ,%,24.1,19.1,23.2,
Notes,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,,
RPMP: Rate per million population.,,,,,
HD: Hemodialysis; PD: Peritoneal dialysis,,,,,
"While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of prevalence in 2021.",,,,,
Percentages may not add up to 100 because of rounding.,,,,,
Sources,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,
End of worksheet,,,,,
