"Screen reader users: There is 1 table on this tab called Table 22: Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in dialysis patients, Canada (excluding Quebec), 2010 to 2021 (percentage). It begins at cell A4 and ends at cell N25. The notes begin in cell A26 and the source begins in cell A30. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,,,,,
"Table 22  Unadjusted 3-month and 1-, 3-, 5- and 10-year survival rates in dialysis patients, Canada (excluding Quebec), 2010 to 2021 (percentage)",,,,,,,,,,,,,,,,,,,
Dialysis treatment,Time point,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,
All dialysis,N,"4,528","4,569","4,773","5,018","5,087","5,346","5,503","5,512","5,851","5,977","6,051","5,920",,,,,,
All dialysis,At start,100,99.9,99.9,99.8,100,100,100,100,99.9,99.9,99.9,100,,,,,,
All dialysis,3 months,93.8,92.2,93.4,92.1,90.6,91.2,91.2,92.4,91.5,92.6,92.0,91.9,,,,,,
All dialysis,1 year,83.1,82.5,83.4,81.9,81.1,82.3,82.1,82.7,82.9,83.9,83.5,—,,,,,,
All dialysis,3 years,62.7,61.3,61.9,60.8,60.7,60.2,60.6,61.9,61.6,—,—,—,—,—,,,,
All dialysis,5 years,43.3,42.2,42.9,42.2,43.0,41.1,41.6,—,—,—,—,—,,,,,,
All dialysis,10 years,13.6,12.5,—,—,—,—,—,—,—,—,—,—,,,,,,
HD,N,"3,649","3,751","3,850","3,977","4,018","4,196","4,227","4,188","4,488","4,626","4,604","4,517",,,,,,
HD,At start,100,99.9,99.9,99.7,100,100,100,100,99.9,99.9,99.8,100,,,,,,
HD,3 months,92.6,90.9,92.2,90.5,88.6,89.6,89.5,90.8,89.7,91.3,90.3,90.1,,,,,,
HD,1 year,81.0,80.3,81.0,79.2,78.0,79.5,79.3,80.5,80.1,81.6,81.4,—,,,,,,
HD,3 years,60.8,59.2,59.5,58.1,57.7,57.7,58.1,59.6,58.7,—,—,—,,,,,,
HD,5 years,41.7,39.8,40.7,40.3,40.5,38.9,40.2,—,—,—,—,—,,,,,,
HD,10 years,13.1,11.6,—,—,—,—,—,—,—,—,—,—,,,,,,
PD,N,879,818,923,"1,041","1,069","1,150","1,276","1,324","1,363","1,351","1,447","1,403",,,,,,
PD,At start,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,
PD,3 months,98.7,98.0,98.4,98.1,97.8,97.4,97.1,97.3,97.4,97.4,97.6,97.4,,,,,,
PD,1 year,92.0,92.6,93.2,92.4,92.3,92.1,91.3,89.7,92.0,91.6,90.1,—,,,,,,
PD,3 years,70.6,71.2,71.9,70.9,72.2,69.2,69.0,69.2,71.1,—,—,—,,,,,,
PD,5 years,50.2,54.0,52.6,49.4,52.4,49.3,45.9,—,—,—,—,—,,,,,,
PD,10 years,15.6,16.9,—,—,—,—,—,—,—,—,—,—,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
— Not applicable.,,,,,,,,,,,,,,,,,,,
HD: Hemodialysis; PD: Peritoneal dialysis.,,,,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,,,,,
