"Screen reader users: There is 1 table on this tab called Table 24: Kidney transplants by type of donor, adult recipients, Canada (excluding Quebec), 2012 to 2021 (number). It begins in cell A4 and ends at cell L9. The notes begin in cell A10 and the source begins in cell A14. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,
"Table 24  Kidney transplants by type of donor, adult recipients, Canada (excluding Quebec), 2012 to 2021 (number)",,,,,,,,,,,,,
Number of transplants,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total,,
"Kidney only, first graft, 
deceased donor",563,502,560,604,787,839,776,806,765,789,"6,991",,
"Kidney only, first graft, 
living donor",351,404,370,383,358,364,392,435,314,365,"3,736",,
"Kidney combination, first graft, deceased donor*",3,6,13,9,11,10,15,6,14,7,94,,
Re-transplants,109,92,99,123,123,126,143,136,117,120,"1,188",,
Total,"1,026","1,004","1,042","1,119","1,279","1,339","1,326","1,383","1,210","1,281","12,009",,
Notes,,,,,,,,,,,,,
"* Includes kidney–liver, kidney–lung, kidney–heart and kidney–bowel combination transplants.",,,,,,,,,,,,,
This table excludes simultaneous kidney–pancreas transplants (SKPs). SKPs are included in the pancreas data tables.,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,
Source,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information. ",,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,
