"Screen reader users: There is 1 table on this tab called Table 25: Deceased-donor kidney transplants* by province of treatment, adult recipients, Canada (excluding Quebec), 2012 to 2021 (number). It begins at cell A4 and ends at cell L11. The notes begin in cell A12 and the source begins in cell A15. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,,,
"Table 25  Deceased-donor kidney transplants* by province of treatment, adult recipients, Canada (excluding Quebec), 2012 to 2021 (number)",,,,,,,,,,,,,,,,
Province,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total,,,,,
B.C.,107,108,101,164,172,219,231,205,194,260,"1,761",,,,,
Alta.,57,80,81,91,92,128,113,96,125,135,998,,,,,
Sask.,8,7,17,12,17,24,30,38,19,23,195,,,,,
Man.,23,18,15,20,29,43,30,23,34,13,248,,,,,
Ont.,371,302,380,367,515,466,438,492,430,394,"4,155",,,,,
N.S.,69,48,47,54,59,56,59,60,63,54,569,,,,,
Total,635,563,641,708,884,936,901,914,865,879,"7,926",,,,,
Notes,,,,,,,,,,,,,,,,
* Excludes simultaneous kidney–pancreas transplants. Includes first transplants and re-transplants.,,,,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information. ",,,,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,,,
