"Screen reader users: There is 1 table on this tab called Table 28: Adult kidney transplant recipients, selected characteristics, first graft, Canada (excluding Quebec), 2012 to 2021 (number, percentage). It begins at cell A4 and ends at cell L28. The notes begin in cell A29 and the source begins in cell A33. A link back to the table of contents is in cell A2.",,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,
"Table 28  Adult kidney transplant recipients, selected characteristics, first graft, Canada (excluding Quebec), 2012 to 2021 (number, percentage)",,,,,,,,,,,,
Donor,Characteristic,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Deceased,Percentage male,64.7,65.4,62.1,60.0,66.0,61.7,64.1,63.5,64.3,62.8,
Deceased,Percentage age 60+,36.2,46.1,44.9,46.8,49.4,43.5,45.1,47.4,39.9,46.6,
Deceased,Average age (years),53.6,56.3,55.3,55.8,57.0,55.7,56.3,56.2,54.8,55.9,
Deceased,Age standard deviation (years),12.3,12.1,13.2,13.0,12.5,12.9,12.8,13.1,13.0,13.7,
Deceased,Primary cause of ESKD: Diabetes (%),24.2,24.4,28.3,27.6,29.3,28.7,27.9,28.2,24.5,27.3,
Deceased,Primary cause of ESKD: Renal vascular (%),11.8,14.4,8.4,12.7,11.7,9.5,12.1,11.9,11.2,10.7,
Deceased,Primary cause of ESKD: Glomerulonephritis (%),24.9,27.6,26.7,25.1,27.2,27.1,24.9,23.9,27.6,28.3,
Deceased,Primary cause of ESKD: Other* (%),32.5,28.5,30.5,29.7,26.4,28.7,27.9,28.9,30.2,27.9,
Deceased,Primary cause of ESKD: Unknown diagnosis (%),6.5,5.1,6.1,4.9,5.4,5.9,7.1,7.0,6.5,5.9,
Deceased,Median peak PRA,2,6,7,5,1,1,4,2,1,0,
Deceased,Peak PRA >50% (%),8.8,12.9,18.8,18.9,15.3,15.3,19.2,17.1,15.7,12.5,
Deceased,Duration of dialysis (median days),"1,350","1,494","1,396","1,463","1,465","1,282","1,389","1,350","1,243","1,211",
Living,Percentage male,62.4,62.4,61.6,62.7,64.8,61.0,68.1,63.9,60.5,60.8,
Living,Percentage age 60+,23.1,21.5,24.1,26.1,26.8,28.6,26.3,25.1,22.9,32.6,
Living,Average age (years),47.7,47.7,47.2,49.4,48.7,48.6,48.5,49.1,48.3,50.5,
Living,Age standard deviation (years),14.2,13.1,14.7,13.6,14.3,14.4,13.9,13.4,14.0,15.2,
Living,Primary cause of ESKD: Diabetes (%),16.8,20.8,16.5,22.5,19.8,18.4,19.1,19.1,19.4,17.0,
Living,Primary cause of ESKD: Renal vascular (%),5.1,6.7,8.4,5.0,7.0,8.0,5.9,5.5,7.0,6.8,
Living,Primary cause of ESKD: Glomerulonephritis (%),25.1,25.2,27.3,27.2,29.6,28.6,29.3,26.7,29.0,27.7,
Living,Primary cause of ESKD: Other* (%),40.7,36.4,35.4,31.1,27.9,32.4,31.1,29.9,30.6,26.6,
Living,Primary cause of ESKD: Unknown diagnosis (%),12.3,10.9,12.4,14.4,15.6,12.6,14.5,18.9,14.0,21.9,
Living,Median peak PRA,1,0,0,0,0,0,0,0,0,0,
Living,Peak PRA >50% (%),9.1,7.8,6.3,7.1,7.3,8.3,10.7,11.4,8.1,7.5,
Living,Duration of dialysis (median days),309,339,311,248,315,237,303,289,373,402,
Notes,,,,,,,,,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,,,,,,,,,
PRA: Panel reactive antibody; ESKD: End-stage kidney disease.,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of transplant data between 2012 and 2021. ,,,,,,,,,,,,
Source,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
