"Screen reader users: There is 1 table on this tab called Table 2A: Incident end-stage kidney disease patients by sex, Canada (excluding Quebec), 2002 to 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell I24. The notes begin in cell A25 and the sources begin in cell A28. A link back to the table of contents is in cell A2.",,,,,,,,,
Back to the Table of contents,,,,,,,,,
"Table 2A  Incident end-stage kidney disease patients by sex, Canada (excluding Quebec), 2002 to 2021 (number, rate per million population, percentage of total)",,,,,,,,,
Year,"Female
(N)","Female
(RPMP)","Female 
(%)","Male
(N)","Male
(RPMP)","Male 
(%)","Total 
(N)",Total (RPMP),
2002,"1,740",144.3,43.2,"2,285",192.6,56.8,"4,025",168.3,
2003,"1,667",136.9,40.5,"2,444",204.0,59.5,"4,111",170.2,
2004,"1,735",141.0,41.4,"2,459",203.2,58.6,"4,194",171.8,
2005,"1,705",137.1,40.2,"2,538",207.5,59.8,"4,245",172.1,
2006,"1,813",144.2,41.6,"2,544",205.7,58.4,"4,358",174.7,
2007,"1,722",135.5,38.7,"2,731",218.7,61.3,"4,453",176.7,
2008,"1,801",140.1,40.9,"2,605",206.2,59.1,"4,406",172.9,
2009,"1,857",142.7,40.6,"2,721",213.0,59.4,"4,579",177.6,
2010,"1,842",140.0,39.5,"2,821",218.4,60.5,"4,664",178.9,
2011,"1,780",133.9,37.8,"2,922",224.0,62.1,"4,704",178.6,
2012,"1,866",138.8,37.9,"3,048",230.8,61.9,"4,921",184.6,
2013,"1,950",143.4,37.7,"3,212",240.3,62.2,"5,166",191.5,
2014,"2,024",147.1,38.6,"3,211",237.4,61.3,"5,238",192.0,
2015,"2,064",148.7,37.5,"3,443",252.3,62.5,"5,508",200.1,
2016,"2,125",151.1,37.6,"3,523",254.9,62.4,"5,648",202.6,
2017,"2,175",152.7,38.2,"3,513",250.9,61.8,"5,688",201.4,
2018,"2,319",160.5,38.6,"3,694",259.8,61.4,"6,014",209.8,
2019,"2,342",159.7,38.1,"3,812",264.1,61.9,"6,154",211.5,
2020,"2,407",162.1,38.8,"3,787",259.2,61.1,"6,196",210.3,
2021,"2,357",157.8,38.7,"3,733",253.9,61.3,"6,091",205.5,
Notes,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of dialysis data between 2011 and 2019 and transplant data between 2012 and 2021. ,,,,,,,,,
Sources,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,
End of worksheet,,,,,,,,,
