"Screen reader users: There is 1 table on this tab called Table 3: Incident end-stage kidney disease patients by province/territory, Canada, 2012 to 2021 (number, rate per million population). It begins at cell A4 and ends at cell L28. The notes begin in cell A29 and the sources begin in cell A34. A link back to the table of contents is in cell A2.",,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,
"Table 3  Incident end-stage kidney disease patients by province/territory, Canada*, 2012 to 2021 (number, rate per million population)",,,,,,,,,,,,
Province/territory,Unit of measure,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
B.C./Y.T.,N,884,912,731,874,950,"1,026","1,020","1,063","1,034","1,015",
B.C./Y.T.,RPMP,192.0,195.4,154.1,181.6,194.0,206.5,201.9,207.0,198.8,193.0,
Alta./N.W.T./Nun.,N,531,570,606,602,648,580,681,674,733,719,
Alta./N.W.T./Nun.,RPMP,134.3,140.4,145.6,142.5,151.5,134.1,155.4,151.6,162.7,158.8,
Sask.,N,214,185,206,186,230,198,195,248,241,213,
Sask. ,RPMP,197.5,168.2,185.1,165.9,202.5,172.1,167.8,211.5,204.4,180.5,
Man.,N,312,296,346,314,316,335,385,406,367,361,
Man.,RPMP,249.6,234.1,270.5,243.0,240.5,251.0,284.6,296.4,265.8,260.9,
Ont.,N,"2,544","2,827","2,912","3,035","3,069","3,100","3,284","3,298","3,370","3,329",
Ont.,RPMP,190.0,209.2,213.8,221.4,221.2,220.3,229.5,226.7,228.5,224.5,
N.B.,N,146,95,127,156,102,110,98,108,117,100,
N.B.,RPMP,192.5,125.2,167.3,205.6,133.6,143.5,127.2,139.0,149.4,126.7,
N.S.,N,159,154,155,162,172,190,184,193,198,210,
N.S.,RPMP,168.5,163.8,165.1,173.0,182.4,200.0,192.0,198.9,201.7,211.7,
P.E.I.,N,20,24,17,19,26,40,25,20,27,28,
P.E.I.,RPMP,138.4,166.6,117.8,131.4,176.9,266.0,163.0,127.0,167.4,170.4,
N.L.,N,111,103,138,160,135,109,142,144,109,116,
N.L.,RPMP,210.9,195.4,261.3,303.0,255.0,206.3,270.2,275.1,209.1,222.8,
Que.*,N,—,—,—,—,—,—,—,—,"1,107",920,
Que.*,RPMP,—,—,—,—,—,—,—,—,129.0,106.9,
Canada (without Que.),N,"4,921","5,166","5,238","5,508","5,648","5,688","6,014","6,154","6,196","6,091",
Canada (without Que.),RPMP,184.6,191.5,192.0,200.1,202.6,201.4,209.8,211.5,210.3,205.5,
Canada (with Que.)*,N,—,—,—,—,—,—,—,—,"7,303","7,011",
Canada (with Que.)*,RPMP,—,—,—,—,—,—,—,—,192.0,183.3,
Notes,,,,,,,,,,,,
* Quebec includes only dialysis patients and does not include kidney transplant patients.  ,,,,,,,,,,,,
— Not applicable.,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,
"Transplant data from Quebec was excluded from this table because of significant under-reporting between 2012 and 2021. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of incidence in 2020–2021.",,,,,,,,,,,,
Sources,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
