"Screen reader users: There is 1 table on this tab called Table 4B: Incident dialysis patients by initial type of treatment, Canada, 2020 to 2021 (number, rate per million population, percentage of total). It begins at cell A4 and ends at cell D18. The notes begin in cell A19 and the sources begin in cell A23. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 4B  Incident dialysis patients by initial type of treatment, Canada, 2020 to 2021 (number, rate per million population, percentage of total)",,,,,,,,,,,,,,
Initial treatment,Unit of measure,2020,2021,,,,,,,,,,,
HD home,N,42,31,,,,,,,,,,,
HD home,RPMP,1.1,0.8,,,,,,,,,,,
HD home,%,0.6,0.5,,,,,,,,,,,
HD institutional,N,"5,470","5,279",,,,,,,,,,,
HD institutional,RPMP,143.8,138.0,,,,,,,,,,,
HD institutional,%,76.4,77.2,,,,,,,,,,,
CAPD,N,"1,031",916,,,,,,,,,,,
CAPD,RPMP,27.1,24.0,,,,,,,,,,,
CAPD,%,14.4,13.4,,,,,,,,,,,
APD,N,615,614,,,,,,,,,,,
APD,RPMP,16.2,16.1,,,,,,,,,,,
APD,%,8.6,9.0,,,,,,,,,,,
Total,N,"7,158","6,840",,,,,,,,,,,
Total,RPMP,188.2,178.8,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
RPMP: Rate per million population.,,,,,,,,,,,,,,
HD: Hemodialysis; CAPD: Continuous ambulatory peritoneal dialysis; APD: Automated peritoneal dialysis.,,,,,,,,,,,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, data within this table is limited to the last 2 years. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of incidence in 2020–2021.",,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,
