"Screen reader users: There is 1 table on this tab called Table 5B: Incident dialysis patients by age group and initial type of treatment, Canada, 2020 to 2021 (number). It begins at cell A4 and ends at cell D16. The notes begin in cell A17 and the sources begin in cell A20. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 5B  Incident dialysis patients by age group and initial type of treatment, Canada, 2020 to 2021 (number)",,,,,,,,,,,,,,
Age group,Initial modality,"2020
(N = 7,158)","2021
(N = 6,840)",,,,,,,,,,,
0–19 ,HD,33,36,,,,,,,,,,,
0–19 ,PD,19,22,,,,,,,,,,,
20–44 ,HD,515,554,,,,,,,,,,,
20–44 ,PD,208,204,,,,,,,,,,,
45–64 ,HD,"1,781","1,656",,,,,,,,,,,
45–64 ,PD,557,489,,,,,,,,,,,
65–74 ,HD,"1,596","1,509",,,,,,,,,,,
65–74 ,PD,467,434,,,,,,,,,,,
75+ ,HD,"1,587","1,555",,,,,,,,,,,
75+ ,PD,395,381,,,,,,,,,,,
Total,HD,"5,512","5,310",,,,,,,,,,,
Total,PD,"1,646","1,530",,,,,,,,,,,
Notes,,,,,,,,,,,,,,
HD: Hemodialysis; PD: Peritoneal dialysis,,,,,,,,,,,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, data within this table is limited to the last 2 years. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of incidence in 2020–2021.",,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,
