"Screen reader users: There is 1 table on this tab called Table 7B: Incident dialysis patients by primary diagnosis, Canada, 2020 to 2021 (number, percentage, rate per million population). It begins at cell A4 and ends at cell D28. The notes begin in cell A29 and the sources begin in cell A33. A link back to the table of contents is in cell A2.",,,,
Back to the Table of contents,,,,
"Table 7B  Incident dialysis patients by primary diagnosis, Canada, 2020 to 2021 (number, percentage, rate per million population)",,,,
Diagnosis*,Unit of measure,"2020
(N = 7,158)","2021
(N = 6,840)",
Glomerulonephritis,N,630,671,
Glomerulonephritis,RPMP,16.6,17.5,
Glomerulonephritis,%,8.8,9.8,
Diabetes,N,"2,397","2,574",
Diabetes,RPMP,63.0,67.3,
Diabetes,%,33.5,37.6,
Renal vascular disease,N,760,826,
Renal vascular disease,RPMP,20.0,21.6,
Renal vascular disease,%,10.6,12.1,
Polycystic kidney disease,N,200,212,
Polycystic kidney disease,RPMP,5.3,5.5,
Polycystic kidney disease,%,2.8,3.1,
Drug induced,N,111,102,
Drug induced,RPMP,2.9,2.7,
Drug induced,%,1.6,1.5,
Pyelonephritis,N,147,134,
Pyelonephritis,RPMP,3.9,3.5,
Pyelonephritis,%,2.1,2.0,
Other*,N,"1,094","1,356",
Other*,RPMP,28.8,35.5,
Other*,%,15.3,19.8,
Unknown/not reported,N,"1,819",965,
Unknown/not reported,RPMP,47.8,25.2,
Unknown/not reported,%,25.4,14.1,
Notes,,,,
"* For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,
RPMP: Rate per million population.,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, data within this table is limited to the last 2 years. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of incidence in 2020–2021.",,,,
Sources,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information; Statistics Canada.",,,,
End of worksheet,,,,
