"Screen reader users: There is 1 table on this tab called Table 9A: Incident dialysis patients with late referral status,* by primary diagnosis, Canada (excluding Quebec), 2012 to 2021 (percentage). It begins at cell A4 and ends at cell K13. The notes begin in cell A14 and the source begins in cell A18. A link back to the table of contents is in cell A2.",,,,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,,,
"Table 9A  Incident dialysis patients with late referral status,* by primary diagnosis, Canada (excluding Quebec), 2012 to 2021 (percentage)",,,,,,,,,,,,,,
Diagnosis†,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,
Glomerulonephritis,23.2,23.4,25.2,26.1,20.9,22.6,22.4,15.5,19.9,17.5,,,,
Diabetes,16.8,16.9,16.3,15.8,15.5,14.7,13.8,14.1,13.8,14.7,,,,
Renal vascular disease,23.7,18.8,16.9,18.1,17.6,14.9,17.1,15.8,17.6,19.0,,,, 
Polycystic kidney disease,10.9,6.7,5.8,5.6,5.6,6.1,5.7,6.6,4.7,6.6,,,,
Drug induced,25.6,29.3,36.0,29.6,33.7,25.3,25.0,17.4,27.8,35.4,,,,
Pyelonephritis,40.8,29.8,36.2,35.9,28.0,25.8,19.8,31.1,27.1,28.4,,,,
Other†,49.8,51.9,49.9,52.8,52.0,50.2,50.9,49.1,52.0,52.5,,,,
Unknown/not reported,42.0,44.9,43.5,35.5,39.3,35.7,38.0,33.8,33.3,43.0,,,,
All incident patients,26.3,26.9,26.6,25.9,25.9,24.3,25.2,24.7,24.6,26.9,,,,
Notes,,,,,,,,,,,,,,
* Patients with a late referral status started dialysis less than 90 days after first seeing a nephrologist.,,,,,,,,,,,,,,
"† For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,,,,,,,,,,,
Data from Quebec was excluded from this table because of significant under-reporting of dialysis data between 2011 and 2019.,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,,,
