"Screen reader users: There is 1 table on this tab called Table 9B: Incident dialysis patients with late referral status,* by primary diagnosis, Canada, 2020 to 2021 (percentage). It begins at cell A4 and ends at cell C13. The notes begin in cell A14 and the source begins in cell A18. A link back to the table of contents is in cell A2.",,,,,,,,,,,,
Back to the Table of contents,,,,,,,,,,,,
"Table 9B  Incident dialysis patients with late referral status,* by primary diagnosis, Canada, 2020 to 2021 (percentage)",,,,,,,,,,,,
Diagnosis†,2020,2021,,,,,,,,,,
Glomerulonephritis,20.1,18.5,,,,,,,,,,
Diabetes,13.7,14.8,,,,,,,,,,
Renal vascular disease,18.0,18.7,,,,,,,,,,
Polycystic kidney disease,4.5,7.3,,,,,,,,,,
Drug induced,28.2,33.0,,,,,,,,,,
Pyelonephritis,26.9,27.8,,,,,,,,,,
Other†,51.7,52.1,,,,,,,,,,
Unknown/not reported,32.9,41.4,,,,,,,,,,
All incident patients,24.5,26.7,,,,,,,,,,
Notes,,,,,,,,,,,,
* Patients with a late referral status started dialysis less than 90 days after first seeing a nephrologist.,,,,,,,,,,,,
"† For a list of all primary diagnoses captured by CORR, see Canadian Organ Replacement Register — Methodology Notes and Supplementary Information, 2012 to 2021. ",,,,,,,,,,,,
"Due to significant under-reporting of Quebec dialysis data between 2011 and 2019, data within this table is limited to the last 2 years. While dialysis data submission for Quebec recommenced in 2020, there still exists potential for under-reporting of incidence in 2020–2021.",,,,,,,,,,,,
Source,,,,,,,,,,,,
"Canadian Organ Replacement Register, 2022, Canadian Institute for Health Information.",,,,,,,,,,,,
End of worksheet,,,,,,,,,,,,
